q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
37	15	2	0fdfbf	0fdfff	ccccce71be63e53166665	cccceecee911176166467
37	15	3	0fdfbf	0fdfff	cecce17b4eb3156636635	cccce19b4e33176166667
37	15	4	0fdfbf	0fdfff	cecce17b4eb3156636635	cccce19e1b33476466667
37	15	5	0fdfbf	0fdfff	ccccc17e3e36e56366665	ccccce9e19e3176166467
37	16	0	0fffff	0dbeff	ccccccb19b1e336666665	cecc1e910e11b32667667
37	16	1	0fffff	0dbeff	ccccc19c3ee3636666665	ccece1cb5e31167167667
37	16	2	0fffff	0dbeff	ccccc19c3ee3636666665	ccccc9ee5eb1162167167
37	16	3	0fffff	0dbeff	cccecebb1341631666667	ccec1ec40e43b65662667
37	16	4	0fffff	0dbeff	cccecebb1341631666667	ccecb1940e31b60667667
37	16	5	0fffff	0dbeff	cccccce1e363663666665	cc9cc19c5e31e67e67167
37	17	0	0fffff	0dbfdf	ccccccb19b1e336666665	cecc1091ee11b32667667
37	17	1	0fffff	0dbfdf	ccccc19c3ee3636666665	ccece5cb1e31167167667
37	17	2	0fffff	0dbfdf	ccccc19c3ee3636666665	ccccc5ee9eb1162167167
37	17	3	0fffff	0dbfdf	cccecebb1341631666667	ccec10c4ee43b65662667
37	17	4	0fffff	0dbfdf	cccecebb1341631666667	ccecb0941e31b60667667
37	17	5	0fffff	0dbfdf	cccccce1e363663666665	cc9cc59c1e31e67e67167
