index	family	c	k	pattern	selector	H	exterior	E_columns	C_columns	rows
278	C77	12	0	BB	13523	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
279	C77	12	0	BO	13524	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
280	C77	12	0	OO	13525	15,16,17,18,19,20,21,22,23,24,25,26	29	0	12	24
281	C77	12	1	BB	13526	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
282	C77	12	1	BO	13527	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
283	C77	12	1	OO	13528	2,15,16,17,18,19,20,21,22,23,24,25	29	1	11	24
284	C77	12	2	BB	13529	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
285	C77	12	2	BO	13530	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
286	C77	12	2	OO	13531	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
287	C77	12	3	BB	13532	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
288	C77	12	3	BO	13533	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
289	C77	12	3	OO	13534	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
290	C77	12	4	BB	13535	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
291	C77	12	4	BO	13536	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
292	C77	12	4	OO	13537	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
293	C77	12	5	BB	13538	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
294	C77	12	5	BO	13539	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
295	C77	12	5	OO	13540	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
296	C77	12	6	BB	13541	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
297	C77	12	6	BO	13542	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
298	C77	12	6	OO	13543	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
299	C77	13	0	BO	13544	15,16,17,18,19,20,21,22,23,24,25,26,27	28	0	13	26
300	C77	13	0	OO	13545	15,16,17,18,19,20,21,22,23,24,25,26,27	28	0	13	26
301	C77	13	1	BB	13546	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
302	C77	13	1	BO	13547	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
303	C77	13	1	OO	13548	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
304	C77	13	2	BB	13549	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
305	C77	13	2	BO	13550	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
306	C77	13	2	OO	13551	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
307	C77	13	3	BB	13552	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
308	C77	13	3	BO	13553	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
309	C77	13	3	OO	13554	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
310	C77	13	4	BB	13555	2,3,4,5,15,16,17,18,19,20,21,22,23	28	4	9	26
