family	c	k	pattern	third_anchor	pool_size	buckets_after_anchor	ordering_rows	orbit_rows	labeled_rows
C77partition	9	4	HO	16	4	EHo:4,EAo:2,EBo:2,EOo:5,CHo:3,CHa:1,CAo:9,CBo:9,COo:4,COa:1	30	7437	12606858152
C77partition	9	4	AB	15	5	EHo:4,EAo:2,EBo:2,EOo:5,CHo:4,CAo:8,CAa:1,CBo:8,CBa:1,COo:5	30	9766	12759405232
C77partition	9	5	HO	16	3	EHo:5,EAo:1,EBo:1,EOo:6,CHo:2,CHa:1,CAo:10,CBo:10,COo:3,COa:1	30	2780	12839025080
C77partition	9	5	AB	15	4	EHo:5,EAo:1,EBo:1,EOo:6,CHo:3,CAo:9,CAa:1,CBo:9,CBa:1,COo:4	30	4192	12975123560
C77partition	9	6	HO	16	2	EHo:6,EOo:7,CHo:1,CHa:1,CAo:11,CBo:11,COo:2,COa:1	32	437	13181621180
C77partition	9	6	AB	15	3	EHo:6,EOo:7,CHo:2,CAo:10,CAa:1,CBo:10,CBa:1,COo:3	32	812	13299685280
C77partition	10	0	HO	16	9	EAo:6,EBo:6,EOo:1,CHo:8,CHa:1,CAo:4,CBo:4,COo:9,COa:1	31	2318	9799361572
C77partition	10	0	AB	15	10	EAo:6,EBo:6,EOo:1,CHo:9,CAo:3,CAa:1,CBo:3,CBa:1,COo:10	31	1590	9971881920
C77partition	10	1	HO	16	8	EHo:1,EAo:5,EBo:5,EOo:2,CHo:7,CHa:1,CAo:5,CBo:5,COo:8,COa:1	30	6936	9854328484
C77partition	10	1	AB	15	9	EHo:1,EAo:5,EBo:5,EOo:2,CHo:8,CAo:4,CAa:1,CBo:4,CBa:1,COo:9	30	5602	10011237236
C77partition	10	2	HO	16	7	EHo:2,EAo:4,EBo:4,EOo:3,CHo:6,CHa:1,CAo:6,CBo:6,COo:7,COa:1	30	11226	9921273284
C77partition	10	2	AB	15	8	EHo:2,EAo:4,EBo:4,EOo:3,CHo:7,CAo:5,CAa:1,CBo:5,CBa:1,COo:8	30	10258	10068242184
