q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
37	11	1	0eefff	0fefff	1b3e6336e9e38b1429190	b39116c1639e26336cc4a
37	11	2	0eefff	0fefff	1bce6366694ed91e0b330	b3ec14916e9c269363c1d
37	11	3	0eefff	0fefff	66131344c6c6db6cae3b2	64e93b61ceb383e316145
37	11	4	0eefff	0fefff	3636363e63e45e198bcc5	b34b9414eb4e241c63e62
37	11	5	0eefff	0fefff	b43e936136942c9e2361f	149931636c3e2c6c96cca
37	12	0	0f7bff	0ffbff	939931c6e45416cfeb3e7	3411eeeb4ede341b64162
37	12	1	0f7bff	0ffbff	4ce1666bc1f6bc6d1e360	9431eb31e6db41136ce67
37	12	2	0f7bff	0ffbff	16333b6c9e891e6041e6f	b1cc96bb61d1191e1b332
37	12	3	0f7bff	0ffbff	93933166e45416cfeb3e7	3411eeeb4e7b341b64192
37	12	4	0f7bff	0ffbff	e66e4b641b0e1c68e4332	34c36b4e3c76169c6619f
37	12	5	0f7bff	0ffbff	931e3b1e4429b63a1363d	341c9ee94ede31c46466f
37	13	0	0f7f7f	0f7fff	11399ec061b63e479b6cf	336b61913e61433d9e39d
37	13	1	0f7f7f	0f7fff	331c9462ec41b6e7ee960	61be34b3c4ee66c261c15
37	13	2	0f7f7f	0f7fff	e666b148ce141432be3ed	6e4e36144ceec6cf1191a
37	13	3	0f7f7f	0f7fff	364ec61f6633313d6b998	1141114b36e36cbf96eb7
37	13	4	0f7f7f	0f7fff	33c4b16d96e13b376b16d	344ec1e93933be4a66345
37	13	5	0f7f7f	0f7fff	1e3616c09bb46312e66cf	11ec3e96c4bc6c1766b1d
37	14	0	0fbeff	0ff7ff	34c4eb13261e9e84b1c6a	e43e46c619b21e61933e0
37	14	1	0fbeff	0ff7ff	eb33433e26199e831149a	61931c31b3629b11c36ba
37	14	2	0fbeff	0ff7ff	6c6ce43e83413eac166e5	61ee9bbc33c2191e1446d
37	14	3	0fbeff	0ff7ff	63c963be2b31e1264c44a	334b1bee6ec0661916438
37	14	4	0fbeff	0ff7ff	eb6349ec0e3166236c468	3e91bee1b1154b44b3637
37	14	5	0fbeff	0ff7ff	9ec666138331e326bc41a	e3619cb3461db411e9c3a
