CERTIFICATE stable_transitivity_residue_profiles_v1 n=8
# CLASS <source-index> tournament=<mask> dilation=<d> stabilizer=<a> deficit=<delta> candidates=<count> profile=<order-index:multiplicity,...>
CLASS 2208 tournament=199162319 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=157:1,1068:1,1696:1,8650:1,9513:1,12673:1,17676:1,18396:1,18488:1,21513:1,25200:1,30465:1,32173:1,32289:1,36153:1,38955:1,38976:1
CLASS 2217 tournament=266267023 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=6:1,13584:1,18752:1,19666:1,23043:1,23616:1,24664:1,32289:1
CLASS 2217 tournament=266267023 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=0:1,2164:1,8856:1,9216:1,12690:1,14727:1,17824:1,18064:1,23680:1,29530:1,30429:1
CLASS 2217 tournament=266267023 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=3:1,156:1,2178:1,11824:1,12696:1,13572:1,17730:1,18192:1,23682:1,26496:1,28840:1,32289:1,34738:1,37842:1
CLASS 2217 tournament=266267023 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=120:1,870:1,1056:1,11829:1,11848:1,17481:1,19024:1,23680:1,25573:1,26404:1,28662:1,28813:1,32289:1,34560:1,35280:1,36346:1,38955:1
CLASS 2220 tournament=251459983 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=10368:1,11792:1,12190:1,18210:1,24490:1,28811:1,29596:1,31560:1
CLASS 2220 tournament=251459983 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=2196:1,7056:1,9264:1,11824:1,12537:1,25242:1,25491:1,28801:1,30096:1,38432:1,39633:1
CLASS 2220 tournament=251459983 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=2160:1,6124:1,6954:1,12633:1,17833:1,18613:1,22721:1,23767:1,26496:1,32161:1,34560:1,34593:1,35432:1,37152:1
CLASS 2220 tournament=251459983 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=870:1,4626:1,5944:1,6930:1,7056:1,9264:1,11992:1,13008:1,17680:1,17686:1,23616:1,24072:1,25240:1,28801:1,35456:1,35658:1,37194:1
CLASS 2221 tournament=251455951 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=1405:1,6930:1,11821:1,19845:1,23049:1,28896:1,30632:1,36121:1
CLASS 2221 tournament=251455951 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=2232:1,4320:1,6032:1,8682:1,17836:1,18491:1,21993:1,25549:1,29736:1,34914:1,36753:1
CLASS 2221 tournament=251455951 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=10:1,2072:1,8644:1,8797:1,12541:1,12618:1,17677:1,19371:1,21213:1,23622:1,25549:1,29406:1,33936:1,35640:1
CLASS 2221 tournament=251455951 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=908:1,2072:1,4320:1,4680:1,6916:1,8833:1,12960:1,13068:1,17716:1,17850:1,18825:1,19882:1,21393:1,23616:1,26496:1,31086:1,34890:1
CLASS 2226 tournament=199162255 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=868:1,2384:1,19024:1,21465:1,26193:1,29016:1,30258:1,38955:1
CLASS 2226 tournament=199162255 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=3:1,600:1,6105:1,16870:1,17483:1,18050:1,24987:1,26442:1,28879:1,34595:1,34600:1
CLASS 2226 tournament=199162255 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=192:1,1068:1,2644:1,6400:1,11433:1,11854:1,17680:1,18480:1,21406:1,25568:1,28292:1,34593:1,35432:1,39482:1
CLASS 2226 tournament=199162255 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=870:1,872:1,2236:1,5921:1,6393:1,9690:1,11817:1,19075:1,21456:1,24114:1,24963:1,25581:1,28800:1,28803:1,32289:1,35568:1,39066:1
CLASS 2227 tournament=199158223 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=2164:1,17678:1,25000:1,25200:1,30465:1,32176:1,34584:1,37598:1
CLASS 2227 tournament=199158223 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=5298:1,7006:1,13026:1,14697:1,17677:1,17716:1,23856:1,25200:1,30430:1,32289:1,38900:1
